id, start_x, start_y, end_x, end_y
1, 0.00, 3.00, 0.00, 7.90
2, 0.00, 9.90, 0.00, 14.80
3, 0.00, 16.80, 0.00, 21.70
4, 2.50, 3.00, 2.50, 7.90
5, 2.50, 9.90, 2.50, 14.80
6, 2.50, 16.80, 2.50, 21.70
7, 5.00, 3.00, 5.00, 7.90
8, 5.00, 9.90, 5.00, 14.80
9, 5.00, 16.80, 5.00, 21.70
10, 7.50, 3.00, 7.50, 7.90
11, 7.50, 9.90, 7.50, 14.80
12, 7.50, 16.80, 7.50, 21.70
13, 10.00, 3.00, 10.00, 7.90
14, 10.00, 9.90, 10.00, 14.80
15, 10.00, 16.80, 10.00, 21.70
16, 12.50, 3.00, 12.50, 7.90
17, 12.50, 9.90, 12.50, 14.80
18, 12.50, 16.80, 12.50, 21.70
19, 15.00, 3.00, 15.00, 7.90
20, 15.00, 9.90, 15.00, 14.80
21, 15.00, 16.80, 15.00, 21.70
22, 17.50, 3.00, 17.50, 7.90
23, 17.50, 9.90, 17.50, 14.80
24, 17.50, 16.80, 17.50, 21.70
25, 20.00, 3.00, 20.00, 7.90
26, 20.00, 9.90, 20.00, 14.80
27, 20.00, 16.80, 20.00, 21.70
28, 22.50, 3.00, 22.50, 7.90
29, 22.50, 9.90, 22.50, 14.80
30, 22.50, 16.80, 22.50, 21.70
