id, start_x, start_y, end_x, end_y
1, 0.00, 3.00, 0.00, 7.90
2, 0.00, 9.90, 0.00, 14.80
3, 0.00, 16.80, 0.00, 21.70
4, 0.00, 23.70, 0.00, 28.60
5, 0.00, 30.60, 0.00, 35.50
6, 0.00, 37.50, 0.00, 42.40
7, 2.50, 3.00, 2.50, 7.90
8, 2.50, 9.90, 2.50, 14.80
9, 2.50, 16.80, 2.50, 21.70
10, 2.50, 23.70, 2.50, 28.60
11, 2.50, 30.60, 2.50, 35.50
12, 2.50, 37.50, 2.50, 42.40
13, 5.00, 3.00, 5.00, 7.90
14, 5.00, 9.90, 5.00, 14.80
15, 5.00, 16.80, 5.00, 21.70
16, 5.00, 23.70, 5.00, 28.60
17, 5.00, 30.60, 5.00, 35.50
18, 5.00, 37.50, 5.00, 42.40
19, 7.50, 3.00, 7.50, 7.90
20, 7.50, 9.90, 7.50, 14.80
21, 7.50, 16.80, 7.50, 21.70
22, 7.50, 23.70, 7.50, 28.60
23, 7.50, 30.60, 7.50, 35.50
24, 7.50, 37.50, 7.50, 42.40
25, 10.00, 3.00, 10.00, 7.90
26, 10.00, 9.90, 10.00, 14.80
27, 10.00, 16.80, 10.00, 21.70
28, 10.00, 23.70, 10.00, 28.60
29, 10.00, 30.60, 10.00, 35.50
30, 10.00, 37.50, 10.00, 42.40
31, 12.50, 3.00, 12.50, 7.90
32, 12.50, 9.90, 12.50, 14.80
33, 12.50, 16.80, 12.50, 21.70
34, 12.50, 23.70, 12.50, 28.60
35, 12.50, 30.60, 12.50, 35.50
36, 12.50, 37.50, 12.50, 42.40
37, 15.00, 3.00, 15.00, 7.90
38, 15.00, 9.90, 15.00, 14.80
39, 15.00, 16.80, 15.00, 21.70
40, 15.00, 23.70, 15.00, 28.60
41, 15.00, 30.60, 15.00, 35.50
42, 15.00, 37.50, 15.00, 42.40
43, 17.50, 3.00, 17.50, 7.90
44, 17.50, 9.90, 17.50, 14.80
45, 17.50, 16.80, 17.50, 21.70
46, 17.50, 23.70, 17.50, 28.60
47, 17.50, 30.60, 17.50, 35.50
48, 17.50, 37.50, 17.50, 42.40
49, 20.00, 3.00, 20.00, 7.90
50, 20.00, 9.90, 20.00, 14.80
51, 20.00, 16.80, 20.00, 21.70
52, 20.00, 23.70, 20.00, 28.60
53, 20.00, 30.60, 20.00, 35.50
54, 20.00, 37.50, 20.00, 42.40
55, 22.50, 3.00, 22.50, 7.90
56, 22.50, 9.90, 22.50, 14.80
57, 22.50, 16.80, 22.50, 21.70
58, 22.50, 23.70, 22.50, 28.60
59, 22.50, 30.60, 22.50, 35.50
60, 22.50, 37.50, 22.50, 42.40
61, 25.00, 3.00, 25.00, 7.90
62, 25.00, 9.90, 25.00, 14.80
63, 25.00, 16.80, 25.00, 21.70
64, 25.00, 23.70, 25.00, 28.60
65, 25.00, 30.60, 25.00, 35.50
66, 25.00, 37.50, 25.00, 42.40
67, 27.50, 3.00, 27.50, 7.90
68, 27.50, 9.90, 27.50, 14.80
69, 27.50, 16.80, 27.50, 21.70
70, 27.50, 23.70, 27.50, 28.60
71, 27.50, 30.60, 27.50, 35.50
72, 27.50, 37.50, 27.50, 42.40
73, 30.00, 3.00, 30.00, 7.90
74, 30.00, 9.90, 30.00, 14.80
75, 30.00, 16.80, 30.00, 21.70
76, 30.00, 23.70, 30.00, 28.60
77, 30.00, 30.60, 30.00, 35.50
78, 30.00, 37.50, 30.00, 42.40
79, 32.50, 3.00, 32.50, 7.90
80, 32.50, 9.90, 32.50, 14.80
81, 32.50, 16.80, 32.50, 21.70
82, 32.50, 23.70, 32.50, 28.60
83, 32.50, 30.60, 32.50, 35.50
84, 32.50, 37.50, 32.50, 42.40
85, 35.00, 3.00, 35.00, 7.90
86, 35.00, 9.90, 35.00, 14.80
87, 35.00, 16.80, 35.00, 21.70
88, 35.00, 23.70, 35.00, 28.60
89, 35.00, 30.60, 35.00, 35.50
90, 35.00, 37.50, 35.00, 42.40
91, 37.50, 3.00, 37.50, 7.90
92, 37.50, 9.90, 37.50, 14.80
93, 37.50, 16.80, 37.50, 21.70
94, 37.50, 23.70, 37.50, 28.60
95, 37.50, 30.60, 37.50, 35.50
96, 37.50, 37.50, 37.50, 42.40
97, 40.00, 3.00, 40.00, 7.90
98, 40.00, 9.90, 40.00, 14.80
99, 40.00, 16.80, 40.00, 21.70
100, 40.00, 23.70, 40.00, 28.60
101, 40.00, 30.60, 40.00, 35.50
102, 40.00, 37.50, 40.00, 42.40
103, 42.50, 3.00, 42.50, 7.90
104, 42.50, 9.90, 42.50, 14.80
105, 42.50, 16.80, 42.50, 21.70
106, 42.50, 23.70, 42.50, 28.60
107, 42.50, 30.60, 42.50, 35.50
108, 42.50, 37.50, 42.50, 42.40
109, 45.00, 3.00, 45.00, 7.90
110, 45.00, 9.90, 45.00, 14.80
111, 45.00, 16.80, 45.00, 21.70
112, 45.00, 23.70, 45.00, 28.60
113, 45.00, 30.60, 45.00, 35.50
114, 45.00, 37.50, 45.00, 42.40
115, 47.50, 3.00, 47.50, 7.90
116, 47.50, 9.90, 47.50, 14.80
117, 47.50, 16.80, 47.50, 21.70
118, 47.50, 23.70, 47.50, 28.60
119, 47.50, 30.60, 47.50, 35.50
120, 47.50, 37.50, 47.50, 42.40
121, 50.00, 3.00, 50.00, 7.90
122, 50.00, 9.90, 50.00, 14.80
123, 50.00, 16.80, 50.00, 21.70
124, 50.00, 23.70, 50.00, 28.60
125, 50.00, 30.60, 50.00, 35.50
126, 50.00, 37.50, 50.00, 42.40
127, 52.50, 3.00, 52.50, 7.90
128, 52.50, 9.90, 52.50, 14.80
129, 52.50, 16.80, 52.50, 21.70
130, 52.50, 23.70, 52.50, 28.60
131, 52.50, 30.60, 52.50, 35.50
132, 52.50, 37.50, 52.50, 42.40
133, 55.00, 3.00, 55.00, 7.90
134, 55.00, 9.90, 55.00, 14.80
135, 55.00, 16.80, 55.00, 21.70
136, 55.00, 23.70, 55.00, 28.60
137, 55.00, 30.60, 55.00, 35.50
138, 55.00, 37.50, 55.00, 42.40
139, 57.50, 3.00, 57.50, 7.90
140, 57.50, 9.90, 57.50, 14.80
141, 57.50, 16.80, 57.50, 21.70
142, 57.50, 23.70, 57.50, 28.60
143, 57.50, 30.60, 57.50, 35.50
144, 57.50, 37.50, 57.50, 42.40
145, 60.00, 3.00, 60.00, 7.90
146, 60.00, 9.90, 60.00, 14.80
147, 60.00, 16.80, 60.00, 21.70
148, 60.00, 23.70, 60.00, 28.60
149, 60.00, 30.60, 60.00, 35.50
150, 60.00, 37.50, 60.00, 42.40
151, 62.50, 3.00, 62.50, 7.90
152, 62.50, 9.90, 62.50, 14.80
153, 62.50, 16.80, 62.50, 21.70
154, 62.50, 23.70, 62.50, 28.60
155, 62.50, 30.60, 62.50, 35.50
156, 62.50, 37.50, 62.50, 42.40
157, 65.00, 3.00, 65.00, 7.90
158, 65.00, 9.90, 65.00, 14.80
159, 65.00, 16.80, 65.00, 21.70
160, 65.00, 23.70, 65.00, 28.60
161, 65.00, 30.60, 65.00, 35.50
162, 65.00, 37.50, 65.00, 42.40
163, 67.50, 3.00, 67.50, 7.90
164, 67.50, 9.90, 67.50, 14.80
165, 67.50, 16.80, 67.50, 21.70
166, 67.50, 23.70, 67.50, 28.60
167, 67.50, 30.60, 67.50, 35.50
168, 67.50, 37.50, 67.50, 42.40
169, 70.00, 3.00, 70.00, 7.90
170, 70.00, 9.90, 70.00, 14.80
171, 70.00, 16.80, 70.00, 21.70
172, 70.00, 23.70, 70.00, 28.60
173, 70.00, 30.60, 70.00, 35.50
174, 70.00, 37.50, 70.00, 42.40
175, 72.50, 3.00, 72.50, 7.90
176, 72.50, 9.90, 72.50, 14.80
177, 72.50, 16.80, 72.50, 21.70
178, 72.50, 23.70, 72.50, 28.60
179, 72.50, 30.60, 72.50, 35.50
180, 72.50, 37.50, 72.50, 42.40
181, 75.00, 3.00, 75.00, 7.90
182, 75.00, 9.90, 75.00, 14.80
183, 75.00, 16.80, 75.00, 21.70
184, 75.00, 23.70, 75.00, 28.60
185, 75.00, 30.60, 75.00, 35.50
186, 75.00, 37.50, 75.00, 42.40
187, 77.50, 3.00, 77.50, 7.90
188, 77.50, 9.90, 77.50, 14.80
189, 77.50, 16.80, 77.50, 21.70
190, 77.50, 23.70, 77.50, 28.60
191, 77.50, 30.60, 77.50, 35.50
192, 77.50, 37.50, 77.50, 42.40
193, 80.00, 3.00, 80.00, 7.90
194, 80.00, 9.90, 80.00, 14.80
195, 80.00, 16.80, 80.00, 21.70
196, 80.00, 23.70, 80.00, 28.60
197, 80.00, 30.60, 80.00, 35.50
198, 80.00, 37.50, 80.00, 42.40
199, 82.50, 3.00, 82.50, 7.90
200, 82.50, 9.90, 82.50, 14.80
201, 82.50, 16.80, 82.50, 21.70
202, 82.50, 23.70, 82.50, 28.60
203, 82.50, 30.60, 82.50, 35.50
204, 82.50, 37.50, 82.50, 42.40
205, 85.00, 3.00, 85.00, 7.90
206, 85.00, 9.90, 85.00, 14.80
207, 85.00, 16.80, 85.00, 21.70
208, 85.00, 23.70, 85.00, 28.60
209, 85.00, 30.60, 85.00, 35.50
210, 85.00, 37.50, 85.00, 42.40
211, 87.50, 3.00, 87.50, 7.90
212, 87.50, 9.90, 87.50, 14.80
213, 87.50, 16.80, 87.50, 21.70
214, 87.50, 23.70, 87.50, 28.60
215, 87.50, 30.60, 87.50, 35.50
216, 87.50, 37.50, 87.50, 42.40
217, 90.00, 3.00, 90.00, 7.90
218, 90.00, 9.90, 90.00, 14.80
219, 90.00, 16.80, 90.00, 21.70
220, 90.00, 23.70, 90.00, 28.60
221, 90.00, 30.60, 90.00, 35.50
222, 90.00, 37.50, 90.00, 42.40
223, 92.50, 3.00, 92.50, 7.90
224, 92.50, 9.90, 92.50, 14.80
225, 92.50, 16.80, 92.50, 21.70
226, 92.50, 23.70, 92.50, 28.60
227, 92.50, 30.60, 92.50, 35.50
228, 92.50, 37.50, 92.50, 42.40
229, 95.00, 3.00, 95.00, 7.90
230, 95.00, 9.90, 95.00, 14.80
231, 95.00, 16.80, 95.00, 21.70
232, 95.00, 23.70, 95.00, 28.60
233, 95.00, 30.60, 95.00, 35.50
234, 95.00, 37.50, 95.00, 42.40
235, 97.50, 3.00, 97.50, 7.90
236, 97.50, 9.90, 97.50, 14.80
237, 97.50, 16.80, 97.50, 21.70
238, 97.50, 23.70, 97.50, 28.60
239, 97.50, 30.60, 97.50, 35.50
240, 97.50, 37.50, 97.50, 42.40
241, 100.00, 3.00, 100.00, 7.90
242, 100.00, 9.90, 100.00, 14.80
243, 100.00, 16.80, 100.00, 21.70
244, 100.00, 23.70, 100.00, 28.60
245, 100.00, 30.60, 100.00, 35.50
246, 100.00, 37.50, 100.00, 42.40
247, 102.50, 3.00, 102.50, 7.90
248, 102.50, 9.90, 102.50, 14.80
249, 102.50, 16.80, 102.50, 21.70
250, 102.50, 23.70, 102.50, 28.60
251, 102.50, 30.60, 102.50, 35.50
252, 102.50, 37.50, 102.50, 42.40
253, 105.00, 3.00, 105.00, 7.90
254, 105.00, 9.90, 105.00, 14.80
255, 105.00, 16.80, 105.00, 21.70
256, 105.00, 23.70, 105.00, 28.60
257, 105.00, 30.60, 105.00, 35.50
258, 105.00, 37.50, 105.00, 42.40
259, 107.50, 3.00, 107.50, 7.90
260, 107.50, 9.90, 107.50, 14.80
261, 107.50, 16.80, 107.50, 21.70
262, 107.50, 23.70, 107.50, 28.60
263, 107.50, 30.60, 107.50, 35.50
264, 107.50, 37.50, 107.50, 42.40
265, 110.00, 3.00, 110.00, 7.90
266, 110.00, 9.90, 110.00, 14.80
267, 110.00, 16.80, 110.00, 21.70
268, 110.00, 23.70, 110.00, 28.60
269, 110.00, 30.60, 110.00, 35.50
270, 110.00, 37.50, 110.00, 42.40
271, 112.50, 3.00, 112.50, 7.90
272, 112.50, 9.90, 112.50, 14.80
273, 112.50, 16.80, 112.50, 21.70
274, 112.50, 23.70, 112.50, 28.60
275, 112.50, 30.60, 112.50, 35.50
276, 112.50, 37.50, 112.50, 42.40
277, 115.00, 3.00, 115.00, 7.90
278, 115.00, 9.90, 115.00, 14.80
279, 115.00, 16.80, 115.00, 21.70
280, 115.00, 23.70, 115.00, 28.60
281, 115.00, 30.60, 115.00, 35.50
282, 115.00, 37.50, 115.00, 42.40
283, 117.50, 3.00, 117.50, 7.90
284, 117.50, 9.90, 117.50, 14.80
285, 117.50, 16.80, 117.50, 21.70
286, 117.50, 23.70, 117.50, 28.60
287, 117.50, 30.60, 117.50, 35.50
288, 117.50, 37.50, 117.50, 42.40
289, 120.00, 3.00, 120.00, 7.90
290, 120.00, 9.90, 120.00, 14.80
291, 120.00, 16.80, 120.00, 21.70
292, 120.00, 23.70, 120.00, 28.60
293, 120.00, 30.60, 120.00, 35.50
294, 120.00, 37.50, 120.00, 42.40
295, 122.50, 3.00, 122.50, 7.90
296, 122.50, 9.90, 122.50, 14.80
297, 122.50, 16.80, 122.50, 21.70
298, 122.50, 23.70, 122.50, 28.60
299, 122.50, 30.60, 122.50, 35.50
300, 122.50, 37.50, 122.50, 42.40
