Instance Group, Number of Orders, Number of Workstations, Number of robots, Capacity of put walls, Capacity of robots
R2_C2,200,8,2,16,2
R2_C3,200,8,2,16,3
R2_C4,200,8,2,16,4
R2_C5,200,8,2,16,5
R2_C6,200,8,2,16,6
R2_C7,200,8,2,16,7
R2_C8,200,8,2,16,8
R3_C2,200,8,3,16,2
R3_C3,200,8,3,16,3
R3_C4,200,8,3,16,4
R3_C5,200,8,3,16,5
R3_C6,200,8,3,16,6
R3_C7,200,8,3,16,7
R3_C8,200,8,3,16,8
R4_C2,200,8,4,16,2
R4_C3,200,8,4,16,3
R4_C4,200,8,4,16,4
R4_C5,200,8,4,16,5
R4_C6,200,8,4,16,6
R4_C7,200,8,4,16,7
R4_C8,200,8,4,16,8
R5_C2,200,8,5,16,2
R5_C3,200,8,5,16,3
R5_C4,200,8,5,16,4
R5_C5,200,8,5,16,5
R5_C6,200,8,5,16,6
R5_C7,200,8,5,16,7
R5_C8,200,8,5,16,8
R6_C2,200,8,6,16,2
R6_C3,200,8,6,16,3
R6_C4,200,8,6,16,4
R6_C5,200,8,6,16,5
R6_C6,200,8,6,16,6
R6_C7,200,8,6,16,7
R6_C8,200,8,6,16,8
R7_C2,200,8,7,16,2
R7_C3,200,8,7,16,3
R7_C4,200,8,7,16,4
R7_C5,200,8,7,16,5
R7_C6,200,8,7,16,6
R7_C7,200,8,7,16,7
R7_C8,200,8,7,16,8
R8_C2,200,8,8,16,2
R8_C3,200,8,8,16,3
R8_C4,200,8,8,16,4
R8_C5,200,8,8,16,5
R8_C6,200,8,8,16,6
R8_C7,200,8,8,16,7
R8_C8,200,8,8,16,8
R9_C2,200,8,9,16,2
R9_C3,200,8,9,16,3
R9_C4,200,8,9,16,4
R9_C5,200,8,9,16,5
R9_C6,200,8,9,16,6
R9_C7,200,8,9,16,7
R9_C8,200,8,9,16,8
R10_C2,200,8,10,16,2
R10_C3,200,8,10,16,3
R10_C4,200,8,10,16,4
R10_C5,200,8,10,16,5
R10_C6,200,8,10,16,6
R10_C7,200,8,10,16,7
R10_C8,200,8,10,16,8
