id, start_x, start_y, end_x, end_y
1, 0.00, 3.00, 0.00, 5.10
2, 0.00, 7.10, 0.00, 9.20
3, 0.00, 11.20, 0.00, 13.30
4, 2.50, 3.00, 2.50, 5.10
5, 2.50, 7.10, 2.50, 9.20
6, 2.50, 11.20, 2.50, 13.30
7, 5.00, 3.00, 5.00, 5.10
8, 5.00, 7.10, 5.00, 9.20
9, 5.00, 11.20, 5.00, 13.30
10, 7.50, 3.00, 7.50, 5.10
11, 7.50, 7.10, 7.50, 9.20
12, 7.50, 11.20, 7.50, 13.30
13, 10.00, 3.00, 10.00, 5.10
14, 10.00, 7.10, 10.00, 9.20
15, 10.00, 11.20, 10.00, 13.30
16, 12.50, 3.00, 12.50, 5.10
17, 12.50, 7.10, 12.50, 9.20
18, 12.50, 11.20, 12.50, 13.30
19, 15.00, 3.00, 15.00, 5.10
20, 15.00, 7.10, 15.00, 9.20
21, 15.00, 11.20, 15.00, 13.30
22, 17.50, 3.00, 17.50, 5.10
23, 17.50, 7.10, 17.50, 9.20
24, 17.50, 11.20, 17.50, 13.30
25, 20.00, 3.00, 20.00, 5.10
26, 20.00, 7.10, 20.00, 9.20
27, 20.00, 11.20, 20.00, 13.30
28, 22.50, 3.00, 22.50, 5.10
29, 22.50, 7.10, 22.50, 9.20
30, 22.50, 11.20, 22.50, 13.30
31, 25.00, 3.00, 25.00, 5.10
32, 25.00, 7.10, 25.00, 9.20
33, 25.00, 11.20, 25.00, 13.30
34, 27.50, 3.00, 27.50, 5.10
35, 27.50, 7.10, 27.50, 9.20
36, 27.50, 11.20, 27.50, 13.30
37, 30.00, 3.00, 30.00, 5.10
38, 30.00, 7.10, 30.00, 9.20
39, 30.00, 11.20, 30.00, 13.30
40, 32.50, 3.00, 32.50, 5.10
41, 32.50, 7.10, 32.50, 9.20
42, 32.50, 11.20, 32.50, 13.30
43, 35.00, 3.00, 35.00, 5.10
44, 35.00, 7.10, 35.00, 9.20
45, 35.00, 11.20, 35.00, 13.30
46, 37.50, 3.00, 37.50, 5.10
47, 37.50, 7.10, 37.50, 9.20
48, 37.50, 11.20, 37.50, 13.30
49, 40.00, 3.00, 40.00, 5.10
50, 40.00, 7.10, 40.00, 9.20
51, 40.00, 11.20, 40.00, 13.30
52, 42.50, 3.00, 42.50, 5.10
53, 42.50, 7.10, 42.50, 9.20
54, 42.50, 11.20, 42.50, 13.30
55, 45.00, 3.00, 45.00, 5.10
56, 45.00, 7.10, 45.00, 9.20
57, 45.00, 11.20, 45.00, 13.30
58, 47.50, 3.00, 47.50, 5.10
59, 47.50, 7.10, 47.50, 9.20
60, 47.50, 11.20, 47.50, 13.30
