Instance Group, Number of Orders, Number of Workstations, Number of robots, Capacity of put walls, Capacity of robots
WS2_PW2,200,2,10,2,8
WS2_PW4,200,2,10,4,8
WS2_PW6,200,2,10,6,8
WS2_PW8,200,2,10,8,8
WS2_PW10,200,2,10,10,8
WS2_PW12,200,2,10,12,8
WS2_PW14,200,2,10,14,8
WS2_PW16,200,2,10,16,8
WS3_PW2,200,3,10,2,8
WS3_PW4,200,3,10,4,8
WS3_PW6,200,3,10,6,8
WS3_PW8,200,3,10,8,8
WS3_PW10,200,3,10,10,8
WS3_PW12,200,3,10,12,8
WS3_PW14,200,3,10,14,8
WS3_PW16,200,3,10,16,8
WS4_PW2,200,4,10,2,8
WS4_PW4,200,4,10,4,8
WS4_PW6,200,4,10,6,8
WS4_PW8,200,4,10,8,8
WS4_PW10,200,4,10,10,8
WS4_PW12,200,4,10,12,8
WS4_PW14,200,4,10,14,8
WS4_PW16,200,4,10,16,8
WS5_PW2,200,5,10,2,8
WS5_PW4,200,5,10,4,8
WS5_PW6,200,5,10,6,8
WS5_PW8,200,5,10,8,8
WS5_PW10,200,5,10,10,8
WS5_PW12,200,5,10,12,8
WS5_PW14,200,5,10,14,8
WS5_PW16,200,5,10,16,8
WS6_PW2,200,6,10,2,8
WS6_PW4,200,6,10,4,8
WS6_PW6,200,6,10,6,8
WS6_PW8,200,6,10,8,8
WS6_PW10,200,6,10,10,8
WS6_PW12,200,6,10,12,8
WS6_PW14,200,6,10,14,8
WS6_PW16,200,6,10,16,8
WS7_PW2,200,7,10,2,8
WS7_PW4,200,7,10,4,8
WS7_PW6,200,7,10,6,8
WS7_PW8,200,7,10,8,8
WS7_PW10,200,7,10,10,8
WS7_PW12,200,7,10,12,8
WS7_PW14,200,7,10,14,8
WS7_PW16,200,7,10,16,8
WS8_PW2,200,8,10,2,8
WS8_PW4,200,8,10,4,8
WS8_PW6,200,8,10,6,8
WS8_PW8,200,8,10,8,8
WS8_PW10,200,8,10,10,8
WS8_PW12,200,8,10,12,8
WS8_PW14,200,8,10,14,8
WS8_PW16,200,8,10,16,8
WS9_PW2,200,9,10,2,8
WS9_PW4,200,9,10,4,8
WS9_PW6,200,9,10,6,8
WS9_PW8,200,9,10,8,8
WS9_PW10,200,9,10,10,8
WS9_PW12,200,9,10,12,8
WS9_PW14,200,9,10,14,8
WS9_PW16,200,9,10,16,8
WS10_PW2,200,10,10,2,8
WS10_PW4,200,10,10,4,8
WS10_PW6,200,10,10,6,8
WS10_PW8,200,10,10,8,8
WS10_PW10,200,10,10,10,8
WS10_PW12,200,10,10,12,8
WS10_PW14,200,10,10,14,8
WS10_PW16,200,10,10,16,8
